DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;6903778;2020-02-19;IRIDIUM;ARVOR;SBE41CP;41-11714;Pierre-Marie Poulain;Argo Italy;A;030;_;-;_;_;-
coriolis;6903779;2020-03-17;IRIDIUM;ARVOR;SBE41CP;41-12234;Pierre-Marie Poulain;Argo Italy;A;055;_;-;_;_;-
coriolis;6903780;2020-03-14;IRIDIUM;ARVOR;SBE41CP;41-12236;Pierre-Marie Poulain;Argo Italy;A;056;_;-;_;_;-
coriolis;6903781;2020-06-25;IRIDIUM;ARVOR;SBE41CP_V7.2.5;41-10663;Pierre-Marie Poulain;Argo Italy;A;035;_;-;035;_;-
coriolis;6903782;2020-07-23;IRIDIUM;ARVOR;SBE41CP;41-11670;Pierre-Marie Poulain;Argo Italy;A;030;_;-;_;_;-
coriolis;6903783;2020-07-31;IRIDIUM;ARVOR;SBE41CP;41-12939;Pierre-Marie Poulain;EURO-Argo RISE;A;029;_;-;_;_;-
coriolis;6903784;2020-08-24;IRIDIUM;ARVOR;SBE41CP;41-11711;Pierre-Marie Poulain;Argo Italy;A;220;_;-;_;_;-
coriolis;6903785;2020-09-16;IRIDIUM;ARVOR;SBE41CP;41-12942;Pierre-Marie Poulain;Argo Italy;NA;001;_;-;_;_;-
coriolis;6903786;2020-09-16;IRIDIUM;ARVOR;SBE41CP;41-11706;Pierre-Marie Poulain;Argo Italy;A;018;_;-;018;_;-
coriolis;6903787;2020-10-25;IRIDIUM;ARVOR;SBE41CP;41-12935;Pierre-Marie Poulain;Argo Italy;A;011;_;-;_;_;-
coriolis;6903788;2020-10-28;IRIDIUM;ARVOR;SBE41CP;41-12938;Pierre-Marie Poulain;Argo Italy;A;154;_;-;_;_;-
coriolis;69038;2000-09-24;ARGOS;PROVOR;X;X;Christine Coatanoan;POMME;NA;_;002;-;_;_;-
coriolis;6903865;2020-07-24;IRIDIUM;ARVOR;SBE41CP_V7.2.5;11912;Violeta Slabakova;Euro-Argo RISE;NA;097;_;-;_;_;-
coriolis;6903866;2020-11-22;IRIDIUM;ARVOR;SBE41CP_V7.2.5;12956;Violeta Slabakova;Argo Bulgary;A;005;_;-;_;_;-
coriolis;6903867;2020-11-17;IRIDIUM;ARVOR;SBE41CP_V7.2.5;12972;Violeta Slabakova;Argo Bulgary;A;006;_;-;006;_;-
coriolis;69039;2000-09-25;ARGOS;PROVOR;FSI;n/a;Christine Coatanoan;POMME;NA;_;051;2014-02-21;_;_;-
